the|는
headed|향하고
voters|유권자
cure|치료법
madonna|마돈나
commander|사령관
arch|아치
murphy|머피
thinks|생각한다
thats|그게
suggestion|제안
soldier|군인
phillips|필립스
asin|asin
aimed|겨냥한
justin|저스틴
bomb|폭탄
harm|피해
interval|간격
mirrors|거울
spotlight|스포트라이트
tricks|트릭
reset|재설정
brush|브러시
investigate|조사하다
thy|너의
expansys|익스팬시스
panels|패널
repeated|반복
assault|폭행
connecting|연결
spare|예비
logistics|물류
deer|사슴
kodak|코닥
tongue|혀
bowling|볼링
tri|트라이
danish|덴마크 사람
pal|친구
monkey|원숭이
proportion|비율
filename|파일 이름
skirt|스커트
florence|피렌체
invest|투자하다
honey|여보
analyses|분석하다
drawings|그림
significance|중요성
scenario|시나리오
lovers|연인
atomic|원자
approx|대략
symposium|심포지엄
arabic|아랍어
gauge|게이지
essentials|필수품
junction|접합
protecting|보호
faced|직면
mat|매트
rachel|레이첼
solving|해결
transmitted|전송됨
weekends|주말
screenshots|스크린샷
produces|생산하다
oven|오븐
ted|테드
intensive|집중적인
chains|체인
kingston|킹스턴
sixth|여섯번째
engage|참여하다
deviant|일탈적인
noon|정오
switching|스위칭
quoted|인용됨
adapters|어댑터
correspondence|서신
farms|농장
imports|수입품
supervision|감독
cheat|속임수
bronze|청동
expenditures|지출
sandy|모래의
separation|별거
testimony|증언
suspect|용의자
celebrities|유명인
macro|매크로
sender|보낸 사람
mandatory|필수
boundaries|경계
crucial|결정적인
syndication|신디케이션
gym|체육관
celebration|축하
kde|kde
adjacent|인접한
filtering|필터링
tuition|수업료
spouse|배우자
exotic|이국적인
viewer|뷰어
signup|가입
threats|위협
luxembourg|룩셈부르크
puzzles|퍼즐
reaching|도달하다
damaged|손상된
cams|캠
receptor|수용체
laugh|웃다
joel|조엘
surgical|외과의
destroy|파괴하다
citation|인용
pitch|피치
autos|자동차
premises|건물
perry|페리
proved|입증됨
offensive|공격적인
imperial|제국의
dozen|다스
benjamin|벤자민
deployment|배포
teeth|치아
cloth|천
studying|공부하다
colleagues|동료
stamp|스탬프
lotus|연꽃
salmon|연어
olympus|올림푸스
separated|분리된
proc|프로세스
cargo|화물
tan|황갈색의
directive|지시어
salem|살렘
mate|친구
starter|스타터
upgrades|업그레이드
likes|좋아한다
butter|버터
pepper|후추
weapon|무기
luggage|수하물
burden|부담
chef|요리사
tapes|테이프
zones|구역
races|경주
isle|섬
stylish|세련된
slim|날씬한
maple|단풍나무
luke|루크
grocery|식료품
offshore|해외
governing|통치
retailers|소매점
depot|창고
kenneth|케네스
comp|광고
alt|대체
pie|파이
blend|블렌드
harrison|해리슨
julie|줄리
occasionally|가끔
attending|참석하다
emission|방출
pete|피트
spec|사양
finest|최고급
realty|부동산
janet|자넷
bow|활
penn|펜
recruiting|모집
apparent|명백한
instructional|교육적인
autumn|가을
traveling|여행
probe|프로브
midi|미디
permissions|권한
biotechnology|생명공학
toilet|화장실
ranked|순위가 매겨진
jackets|재킷
routes|노선
packed|포장된
excited|흥분하다
outreach|봉사활동
helen|헬렌
mounting|장착
recover|회복하다
tied|묶여
lopez|로페즈
balanced|균형 잡힌
prescribed|처방된
catherine|캐서린
timely|시기적절한
talked|이야기했다
debug|디버그
delayed|지연됨
chuck|척
reproduced|재생산
hon|혼
dale|데일
explicit|명시적인
calculation|계산
villas|빌라
ebook|전자책
consolidated|통합
exclude|제외하다
peeing|오줌 누는
occasions|경우
brooks|브룩스
equations|방정식
newton|뉴턴
oils|오일
sept|9월
exceptional|예외적인
anxiety|불안
bingo|빙고
whilst|동안
spatial|공간적
respondents|응답자
unto|~에게
ceramic|세라믹
prompt|프롬프트
precious|소중한
minds|마음
annually|매년
considerations|고려사항
scanners|스캐너
atm|ATM
xanax|자낙스
pays|지불하다
fingers|손가락
sunny|햇볕이 잘 드는
ebooks|전자책
delivers|배달하다
queensland|퀸즐랜드
necklace|목걸이
musicians|음악가
leeds|리즈
composite|합성물
unavailable|이용할 수 없음
cedar|삼나무
arranged|배열
lang|랭
theaters|극장
advocacy|옹호
raleigh|롤리
stud|스터드
fold|접다
essentially|본질적으로
designing|디자인
threaded|스레드
qualify|자격을 갖추다
blair|블레어
hopes|희망
assessments|평가
mason|메이슨
diagram|다이어그램
burns|화상
pumps|펌프
footwear|신발류
vic|피해자
beijing|베이징
peoples|민족
victor|승리자
mario|마리오
pos|포스
attach|첨부하다
licenses|라이센스
utils|유틸리티
removing|제거
advised|조언하다
brunswick|브런즈윅
spider|거미
phys|물리학
ranges|범위
pairs|쌍
sensitivity|감도
trails|산책로
preservation|보존
hudson|허드슨
isolated|외딴
calgary|캘거리
interim|임시
assisted|도움을 준
divine|신성한
streaming|스트리밍
approve|승인하다
chose|선택했다
compound|화합물
intensity|강도
technological|기술적
syndicate|신디케이트
abortion|낙태
dialog|대화상자
venues|장소
blast|폭발
wellness|웰빙
calcium|칼슘
newport|뉴포트
antivirus|바이러스 백신
addressing|주소 지정
pole|극
discounted|할인됨
indians|인디언
shield|방패
harvest|수확
membrane|막
prague|프라하
previews|미리보기
bangladesh|방글라데시
constitute|구성하다
locally|로컬로
concluded|결론
pickup|픽업
desperate|절망적인
mothers|어머니들
nascar|나스카
iceland|아이슬란드
demonstration|데모
governmental|정부
manufactured|제조
candles|양초
graduation|졸업
mega|메가
bend|굽히다
sailing|항해
variations|변형
moms|엄마
sacred|신성한
addiction|중독
morocco|모로코
chrome|크롬
tommy|토미
springfield|스프링필드
refused|거절하다
brake|브레이크
exterior|외관
greeting|인사
ecology|생태학
oliver|올리버
congo|콩고
glen|글렌
botswana|보츠와나
nav|네비게이션
delays|지연
synthesis|합성
olive|올리브
undefined|정의되지 않음
unemployment|실업
cyber|사이버
verizon|버라이즌
scored|득점
enhancement|향상
newcastle|뉴캐슬
clone|클론
velocity|속도
lambda|람다
relay|릴레이
composed|작곡
tears|눈물
performances|공연
oasis|오아시스
baseline|기준선
cab|택시
angry|화난
societies|사회
silicon|실리콘
brazilian|브라질 사람
identical|동일한
petroleum|석유
compete|경쟁하다
ist|이스트
norwegian|노르웨이 사람
lover|연인
belong|속하다
honolulu|호놀룰루
beatles|비틀즈
lips|입술
retention|보유
exchanges|교환
pond|연못
rolls|롤
thomson|톰슨
barnes|반스
soundtrack|사운드 트랙
wondering|궁금하다
malta|몰타
daddy|아빠
ferry|페리
rabbit|토끼
profession|직업
seating|좌석
dam|댐
separately|별도로
physiology|생리학
lil|릴
collecting|수집
das|다스
exports|수출
omaha|오마하
tire|타이어
participant|참가자
scholarships|장학금
recreational|레크리에이션
dominican|도미니카인의
chad|차드
electron|전자
loads|짐
friendship|우정
heather|헤더
passport|여권
motel|모텔
unions|노동조합
treasury|재무부
warrant|영장
sys|시스템
solaris|솔라리스
frozen|냉동
occupied|점령
josh|조쉬
royalty|왕족
scales|저울
rally|집회
observer|관찰자
sunshine|햇빛
strain|긴장
drag|드래그
ceremony|의식
somehow|어떻게든
arrested|체포되다
expanding|확장
provincial|지방의
investigations|조사
icq|ICQ
ripe|익은
yamaha|야마하
rely|의지하다
medications|약물
hebrew|히브리어
gained|얻은
rochester|로체스터
dying|죽어가는
laundry|세탁
stuck|붙어
solomon|솔로몬
placing|배치
stops|정류장
homework|숙제
adjust|조정하다
assessed|평가됨
advertiser|광고주
enabling|활성화
encryption|암호화
filling|충전
downloadable|다운로드 가능
sophisticated|정교한
imposed|부과
silence|침묵
scsi|scsi
focuses|초점
soviet|소련
possession|소유
laboratories|실험실
treaty|조약
vocal|보컬
trainer|트레이너
organ|오르간
stronger|더 강하게
volumes|볼륨
advances|발전
vegetables|야채
lemon|레몬
toxic|유독한
thumbnails|미리보기 이미지
darkness|어둠
pty|피티
nuts|견과류
nail|네일
bizrate|기괴한
vienna|비엔나
implied|암시된
span|스팬
stanford|스탠포드
sox|삭스
stockings|스타킹
joke|농담
respondent|응답자
packing|포장
statute|법령
rejected|거부됨
satisfy|만족시키다
destroyed|파괴됨
shelter|피난처
chapel|예배당
gamespot|게임 장소
manufacture|제조
layers|레이어
wordpress|워드프레스
guided|안내됨
vulnerability|취약성
accountability|책임
celebrate|축하하다
accredited|공인된
appliance|기기
compressed|압축
bahamas|바하마
powell|파월
mixture|혼합물
bench|벤치
univ|대학
tub|욕조
rider|라이더
scheduling|스케줄링
radius|반경
perspectives|관점
mortality|사망률
logging|로깅
hampton|햄튼
christians|기독교인
borders|국경
therapeutic|치료
pads|패드
butts|꽁초
inns|여관
bobby|바비
impressive|인상적인
sheep|양
accordingly|따라서
architect|건축가
railroad|철도
lectures|강의
challenging|도전적인
wines|와인
nursery|보육원
harder|더 세게
cups|컵
ash|재
microwave|전자레인지
cheapest|가장 저렴한
accidents|사고
travesti|트라베스티
relocation|재배치
stuart|스튜어트
contributors|기여자
salvador|살바도르
ali|알리
salad|샐러드
monroe|먼로
tender|부드러운
violations|위반
foam|거품
temperatures|온도
paste|풀
clouds|구름
competitions|대회
discretion|재량권
tanzania|탄자니아
preserve|보존하다
poem|시
unsigned|서명되지 않은
staying|머물다
cosmetics|화장품
easter|부활절
theories|이론
repository|저장소
praise|칭찬하다
jeremy|제레미
venice|베니스
concentrations|농도
estonia|에스토니아
christianity|기독교
veteran|베테랑
streams|스트림
landing|착륙
signing|서명
executed|처형된
katie|케이티
negotiations|협상
realistic|현실적인
cgi|CGI
showcase|쇼케이스
integral|적분
asks|묻다
relax|긴장을 풀다
namibia|나미비아
generating|생성
christina|크리스티나
congressional|의회
synopsis|개요
hardly|거의
prairie|대초원
reunion|재회
composer|작곡가
bean|콩
sword|검
absent|결석
photographic|사진의
sells|판매하다
ecuador|에콰도르
hoping|희망하다
accessed|액세스됨
spirits|영혼
modifications|수정
coral|산호
pixel|픽셀
float|플로트
colin|콜린
bias|편견
imported|수입됨
paths|경로
bubble|거품
por|포
acquire|획득하다
contrary|반대로
millennium|밀레니엄
tribune|트리뷴
vessel|선박
acids|산
focusing|집중하다
viruses|바이러스
cheaper|더 저렴하다
admitted|인정하다
dairy|유제품
admit|인정하다
mem|기억
fancy|멋진
equality|평등
samoa|사모아
achieving|달성
tap|탭
stickers|스티커
fisheries|수산업
exceptions|예외
reactions|반응
leasing|임대
lauren|로렌
beliefs|신념
macromedia|매크로미디어
companion|동반자
squad|분대
analyze|분석하다
ashley|애쉴리
scroll|스크롤
relate|관련되다
divisions|구분
swim|수영
wages|임금
additionally|추가적으로
suffer|고통을 겪다
forests|숲
fellowship|친교
nano|나노
invalid|유효하지 않은
concerts|콘서트
martial|무술
males|수컷
victorian|빅토리아 시대의
retain|유지하다
colours|색상
execute|실행하다
tunnel|터널
genres|장르
cambodia|캄보디아
patents|특허
copyrights|저작권
chaos|혼돈
lithuania|리투아니아
mastercard|마스터카드
wheat|밀
chronicles|연대기
obtaining|획득
beaver|비버
updating|업데이트 중
distribute|배포하다
readings|판독값
decorative|장식적인
kijiji|키지지
confused|혼란스러운
compiler|컴파일러
enlargement|확대
eagles|독수리
bases|기지
vii|vii
accused|피고인
bee|벌
campaigns|캠페인
unity|화합
loud|시끄러운
conjunction|접속사
bride|신부
rats|쥐
defines|정의하다
airports|공항
instances|인스턴스
indigenous|원주민
begun|시작됨
brunette|갈색 머리
packets|패킷
anchor|앵커
socks|양말
validation|검증
parade|퍼레이드
corruption|부패
stat|통계
trigger|방아쇠
incentives|인센티브
cholesterol|콜레스테롤
gathered|모인
essex|섹스
slovenia|슬로베니아
notified|통보
differential|차동
beaches|해변
folders|폴더
dramatic|극적인
surfaces|표면
terrible|끔찍한
routers|라우터
cruz|크루즈
pendant|펜던트
dresses|드레스
baptist|침례교인
scientist|과학자
starsmerchant|별 상인
hiring|고용
clocks|시계
arthritis|관절염
bios|바이오스
females|암컷
wallace|월레스
nevertheless|그럼에도 불구하고
reflects|반영하다
taxation|과세
fever|발열
cuisine|요리
surely|확실히
practitioners|실무자
transcript|성적표
myspace|마이스페이스
theorem|정리
inflation|인플레이션
thee|너
ruth|루스
pray|기도하다
stylus|스타일러스
compounds|화합물
pope|교황
drums|드럼
contracting|수축하는
arnold|아놀드
structured|구조화된
reasonably|합리적으로
jeep|지프
chicks|병아리
bare|벌거벗은
hung|매달린
cattle|소
mba|MBA
radical|급진적인
graduates|졸업생
rover|로버
recommends|추천하다
controlling|통제하다
treasure|보물
reload|다시 장전하다
distributors|유통업체
flame|불꽃
levitra|레비트라
tanks|탱크
assuming|가정
monetary|화폐
elderly|노인
pit|구덩이
arlington|알링턴
mono|모노
particles|입자
floating|떠 있는
extraordinary|특별한
tile|타일
indicating|나타내는
bolivia|볼리비아
spell|철자
hottest|가장 뜨거운
stevens|스티븐스
coordinate|좌표
kuwait|쿠웨이트
exclusively|독점적으로
emily|에밀리
alleged|혐의
limitation|제한
widescreen|와이드스크린
compile|컴파일하다
webster|웹스터
struck|쳤다
illustration|일러스트레이션
plymouth|플리머스
warnings|경고
construct|구성하다
apps|앱
inquiries|문의사항
bridal|신부
annex|별관
mag|잡지
inspiration|영감
tribal|부족의
curious|호기심
affecting|영향을 미치는
freight|화물
rebate|리베이트
meetup|모임
eclipse|일식
sudan|수단
downloading|다운로드 중
rec|기록
shuttle|셔틀
aggregate|집계
stunning|충격적인
cycles|사이클
affects|영향을 미치다
forecasts|예측
detect|감지하다
actively|적극적으로
ciao|챠오
ampland|앰프랜드
knee|무릎
prep|준비
complicated|복잡하다
chem|화학
fastest|가장 빠른
butler|집사
shopzilla|상점 질라
injured|부상당한
decorating|꾸미기
payroll|급여
cookbook|요리책
expressions|표현
ton|톤
courier|택배
uploaded|업로드됨
shakespeare|셰익스피어
hints|힌트
collapse|붕괴
americas|아메리카
connectors|커넥터
unlikely|있을 것 같지 않은
gif|gif
pros|찬성
conflicts|갈등
techno|테크노
beverage|음료수
tribute|공물
wired|유선
elvis|엘비스
immune|면역
latvia|라트비아
travelers|여행자
forestry|임업
barriers|장벽
cant|캔트
rarely|드물게
infected|감염된
offerings|제물
martha|마사
genesis|창세기
barrier|장벽
argue|논쟁하다
incorrect|잘못된
trains|기차
metals|금속
bicycle|자전거
furnishings|가구
letting|허락하다
arise|일어나다
guatemala|과테말라
celtic|켈트족의
thereby|이로써
irc|irc
jamie|제이미
particle|입자
perception|지각
minerals|미네랄
advise|조언하다
humidity|습도
bottles|병
boxing|권투
bangkok|방콕
renaissance|르네상스
pathology|병리학
sara|사라
bra|브래지어
ordinance|조례
hughes|휴즈
photographers|사진작가
infections|감염
jeffrey|제프리
chess|체스
operates|운영하다
brisbane|브리즈번
configured|구성된
survive|살아남다
oscar|오스카
festivals|축제
menus|메뉴
joan|조앤
possibilities|가능성
duck|오리
reveal|공개하다
canal|운하
amino|아미노
phi|파이
contributing|기여
herbs|허브
clinics|진료소
cow|소
manitoba|매니토바
analytical|분석적
missions|임무
watson|왓슨
lying|거짓말하는
costumes|의상
strict|엄격한
dive|다이빙
saddam|사담
circulation|순환
drill|드릴
offense|범죄
bryan|브라이언
cet|CET
protest|항의
assumption|가정
jerusalem|예루살렘
hobby|취미
tries|시도하다
transexuales|성전환자
invention|발명품
nickname|별명
fiji|피지
technician|기술자
inline|인라인
executives|임원
enquiries|문의사항
washing|세탁
audi|아우디
staffing|직원 배치
cognitive|인지
exploring|탐험하다
trick|트릭
enquiry|문의
closure|폐쇄
raid|급습
timber|목재
volt|볼트
intense|강렬한
div|div
playlist|재생목록
registrar|등록원
showers|소나기
supporters|지지자들
ruling|판결
steady|꾸준한
dirt|흙
statutes|법령
withdrawal|철수
myers|마이어스
drops|방울
predicted|예측됨
wider|더 넓게
saskatchewan|서스캐처원
cancellation|취소
plugins|플러그인
enrolled|등록됨
sensors|센서
screw|나사
ministers|장관
publicly|공개적으로
hourly|매시간
blame|비난하다
geneva|제네바
freebsd|프리브스드
veterinary|수의학
acer|에이서
prostores|프로 스토어
reseller|리셀러
dist|거리
handed|손으로
suffered|고통받았다
intake|섭취
informal|비공식
relevance|관련성
incentive|인센티브
butterfly|나비
tucson|투손
mechanics|역학
heavily|심하게
swingers|스윙 어
fifty|오십
headers|헤더
mistakes|실수
numerical|숫자
ons|온
geek|괴짜
uncle|삼촌
defining|정의
counting|계산
reflection|반사
sink|싱크대
accompanied|동반
assure|확신하다
invitation|초대
devoted|헌신적인
princeton|프린스턴
jacob|야곱
sodium|나트륨
randy|랜디
spirituality|영성
hormone|호르몬
meanwhile|그동안
proprietary|독점
timothy|티모시
childrens|어린이
brick|벽돌
grip|그립
naval|해군
thumbzilla|썸질라
medieval|중세의
porcelain|도자기
avi|avi
bridges|교량
pichunter|사진작가
captured|캡처
watt|와트
thehun|테훈
decent|괜찮은
casting|캐스팅
dayton|데이턴
translated|번역된
shortly|곧
cameron|카메론
columnists|칼럼니스트
pins|핀
carlos|카를로스
reno|리노
donna|도나
andreas|안드레아스
warrior|전사
diploma|졸업장
cabin|선실
innocent|순진한
scanning|스캐닝
ide|이데
consensus|합의
polo|폴로
valium|발륨
copying|복사
delivering|배달하다
cordless|무선
patricia|패트리샤
horn|경적
eddie|에디
uganda|우간다
fired|해고됨
journalism|저널리즘
prot|프로
trivia|퀴즈
adidas|아디다스
perth|퍼스
frog|개구리
grammar|문법
intention|의도
syria|시리아
disagree|동의하지 않는다
klein|클라인
harvey|하비
tires|타이어
logs|로그
undertaken|착수하다
hazard|위험
retro|복고풍
leo|레오
statewide|주 전체
semiconductor|반도체
gregory|그레고리
episodes|에피소드
boolean|부울
circular|원형
anger|분노
diy|DIY
mainland|본토
illustrations|일러스트레이션
suits|정장
chances|기회
interact|상호작용하다
snap|스냅
happiness|행복
arg|인수
substantially|실질적으로
bizarre|기괴한
glenn|글렌
auckland|오클랜드
olympics|올림픽
fruits|과일
identifier|식별자
geo|지역
ribbon|리본
calculations|계산
doe|암사슴
jpeg|JPEG
conducting|지휘
startup|시작
suzuki|스즈키
trinidad|트리니다드
ati|아티
kissing|키스
wal|월
handy|편리한
swap|교환
exempt|면제
crops|작물
reduces|감소하다
accomplished|성취하다
calculators|계산기
geometry|기하학
impression|인상
abs|복근
slovakia|슬로바키아
flip|뒤집기
guild|길드
correlation|상관관계
gorgeous|화려한
capitol|국회 의사당
sim|심
dishes|요리
rna|RNA
barbados|바베이도스
chrysler|크라이슬러
nervous|신경질적인
refuse|거절하다
extends|연장하다
fragrance|향수
mcdonald|맥도날드
replica|복제품
plumbing|배관
brussels|브뤼셀
tribe|부족
neighbors|이웃
trades|거래
superb|훌륭하다
buzz|버즈
transparent|투명한
nuke|핵무기
rid|없애다
trinity|삼위일체
charleston|찰스턴
handled|처리
legends|전설
boom|붐
calm|진정
champions|챔피언
floors|바닥
selections|선택
projectors|프로젝터
inappropriate|부적절하다
exhaust|배기
comparing|비교
shanghai|상하이
speaks|말한다
burton|버튼
vocational|직업적인
davidson|데이비슨
copied|복사됨
scotia|스코샤
farming|농업
gibson|깁슨
pharmacies|약국
fork|포크
troy|트로이
roller|롤러
introducing|소개
batch|배치
organize|조직하다
appreciated|감사합니다
alter|바꾸다
nicole|니콜
latino|라틴계
ghana|가나
edges|가장자리
mixing|혼합
handles|핸들
skilled|숙련된
fitted|장착
albuquerque|앨버커키
harmony|조화
distinguished|저명한
asthma|천식
projected|예상
assumptions|가정
shareholders|주주
twins|쌍둥이
developmental|발달상의
rip|찢어지다
zope|조페
regulated|규제됨
triangle|삼각형
amend|수정하다
anticipated|예상됨
oriental|동양의
reward|보상
windsor|윈저
zambia|잠비아
completing|완료
buf|버프
hydrogen|수소
webshots|웹샷
sprint|전력 질주
comparable|비교할 만한
chick|병아리
advocate|옹호자
sims|심즈
confusion|혼란
copyrighted|저작권이 있는
tray|트레이
inputs|입력
warranties|보증
genome|게놈
escorts|호위
documented|문서화
thong|가죽끈
medal|메달
paperbacks|단행본
coaches|코치
vessels|선박
harbour|항구
walks|산책
sol|솔
keyboards|키보드
sage|세이지
knives|칼
eco|에코
vulnerable|취약한
arrange|배열하다
artistic|예술적
bat|박쥐
honors|명예
booth|부스
indie|인디
reflected|반영
unified|통일된
bones|뼈
breed|번식하다
detector|탐지기
ignored|무시됨
polar|극지방의
fallen|타락한
precise|정확한
sussex|서섹스
respiratory|호흡기
notifications|알림
msgid|msgid
transexual|성전환
mainstream|주류
invoice|송장
evaluating|평가하다
lip|입술
subcommittee|소위원회
sap|수액
gather|모으다
suse|수세
maternity|산부인과
backed|뒷받침되는
alfred|알프레드
colonial|식민지 시대의
carey|캐리
motels|모텔
forming|형성
embassy|대사관
cave|동굴
journalists|언론인
danny|대니
rebecca|레베카
slight|약간의
proceeds|수익금
indirect|간접적인
amongst|사이에
wool|양모
foundations|기초
arrest|체포
volleyball|배구
adipex|아디펙스
horizon|지평선
deeply|깊이
toolbox|도구 상자
ict|ICT
marina|선착장
liabilities|부채
prizes|상금
bosnia|보스니아
browsers|브라우저
decreased|감소하다
patio|안뜰
tolerance|관용
surfing|서핑
creativity|창의성
lloyd|로이드
describing|묘사하는
optics|광학
pursue|추구하다
lightning|번개
overcome|극복하다
eyed|눈이 있는
quotations|인용문
grab|잡아
inspector|검사관
attract|유치하다
brighton|브라이튼
beans|콩
bookmarks|북마크
ellis|엘리스
disable|비활성화
snake|뱀
succeed|성공하다
leonard|레너드
lending|대출
oops|이런
reminder|알림
searched|검색됨
behavioral|행동
riverside|강변
bathrooms|욕실
plains|평원
sku|sku
raymond|레이먼드
insights|통찰력
abilities|능력
initiated|시작됨
sullivan|설리번
midwest|중서부
karaoke|노래방
trap|함정
lonely|외로운
fool|바보
nonprofit|비영리
lancaster|랭커스터
suspended|정지됨
hereby|이로써
observe|관찰하다
julia|줄리아
containers|컨테이너
attitudes|태도
karl|칼
berry|베리
collar|칼라
simultaneously|동시에
racial|인종
integrate|통합하다
bermuda|버뮤다
amanda|아만다
sociology|사회학
mobiles|모빌
screenshot|스크린샷
exhibitions|전시회
kelkoo|켈쿠
confident|자신감
retrieved|검색됨
exhibits|전시회
officially|공식적으로
consortium|컨소시엄
dies|죽는다
terrace|테라스
bacteria|박테리아
replied|대답했다
seafood|해산물
novels|소설
recipients|수신자
ought|마땅히
delicious|맛있다
traditions|전통
jail|감옥
safely|안전하게
finite|유한한
kidney|신장
periodically|주기적으로
fixes|수정
sends|보낸다
durable|내구성
mazda|마즈다
allied|동맹한
throws|던진다
moisture|수분
hungarian|헝가리인
roster|명단
referring|언급
symantec|시만텍
spencer|스펜서
wichita|위치타
nasdaq|나스닥
uruguay|우루과이
ooo|오오
transform|변환
timer|타이머
tablets|정제
tuning|튜닝
gotten|얻었다
educators|교육자
tyler|타일러
futures|선물
vegetable|야채
verse|운문
highs|최고
humanities|인문학
independently|독립적으로
wanting|원하는
custody|양육권
scratch|스크래치
launches|발사하다
ipaq|아이팩
alignment|정렬
henderson|헨더슨
britannica|브리태니커
comm|통신
ellen|엘렌
competitors|경쟁자
rocket|로켓
aye|응
bullet|총알
towers|타워
racks|랙
lace|레이스
nasty|불쾌한
visibility|가시성
latitude|위도
consciousness|의식
ste|인
tumor|종양
ugly|못생긴
deposits|예금
beverly|비벌리
mistress|여주인
encounter|만남
trustees|이사
watts|와트
duncan|던컨
reprints|재판
hart|하트
bernard|버나드
resolutions|결의안
ment|멘트
accessing|접근하다
forty|마흔
tubes|튜브
attempted|시도했다
col|열
midlands|미들랜드
priest|성직자
floyd|플로이드
ronald|로널드
analysts|분석가
queue|대기열
trance|트랜스
locale|로케일
nicholas|니콜라스
biol|바이오
bundle|번들
hammer|망치
invasion|침략
witnesses|증인
runner|주자
rows|행
administered|투여
notion|개념
skins|스킨
mailed|우편으로 발송됨
fujitsu|후지쯔
spelling|철자법
arctic|북극
exams|시험
rewards|보상
beneath|아래에
strengthen|강화하다
defend|방어하다
frederick|프레드릭
medicaid|메디케이드
treo|트레오
infrared|적외선
seventh|일곱번째
gods|신들
une|네
welsh|웨일스 사람
belly|배
aggressive|공격적인
tex|텍스
advertisements|광고
quarters|분기
stolen|도난당한
cia|시아
soonest|빨리
haiti|아이티
disturbed|혼란스러운
determines|결정하다
sculpture|조각품
poly|폴리
ears|귀
dod|국방부
fist|주먹
naturals|자연산
neo|네오
motivation|동기부여
lenders|대출 기관
pharmacology|약리학
fitting|피팅
fixtures|비품
bloggers|블로거
mere|단지
agrees|동의하다
passengers|승객
quantities|수량
petersburg|상트페테르부르크
consistently|꾸준히
powerpoint|파워포인트
cons|단점
surplus|잉여
elder|장로
sonic|음파
obituaries|부고 기사
cheers|건배
dig|파다
taxi|택시
punishment|처벌
appreciation|감사
subsequently|이후
belarus|벨로루시
nat|낫
zoning|구역화
gravity|중력
providence|섭리
thumb|엄지손가락
restriction|제한
incorporate|통합하다
backgrounds|배경
treasurer|재무
guitars|기타
essence|본질
flooring|바닥재
lightweight|경량
ethiopia|에티오피아
mighty|강력한
athletes|운동선수
humanity|인류
transcription|전사
holmes|홈즈
complications|합병증
scholars|학자
dpi|dpi
scripting|스크립팅
gis|기스
remembered|기억하다
galaxy|은하계
chester|체스터
snapshot|스냅샷
caring|배려
loc|위치
worn|착용
synthetic|합성
shaw|쇼
segments|세그먼트
testament|유언
expo|엑스포
dominant|지배적인
twist|트위스트
specifics|세부사항
itunes|아이튠즈
stomach|위
partially|부분적으로
buried|묻힌
newbie|초보자
minimize|최소화하다
darwin|다윈
ranks|계급
wilderness|황야
debut|데뷔
generations|세대
tournaments|토너먼트
bradley|브래들리
deny|부정하다
anatomy|해부학
bali|발리
judy|주디
sponsorship|후원
headphones|헤드폰
fraction|분수
trio|트리오
proceeding|진행
cube|입방체
defects|결함
volkswagen|폭스바겐
uncertainty|불확실성
breakdown|고장
milton|밀턴
marker|마커
reconstruction|재건축
subsidiary|자회사
strengths|강점
clarity|명확성
rugs|양탄자
sandra|산드라
adelaide|애들레이드
encouraging|격려하는
furnished|가구가 비치된
monaco|모나코
settled|정착하다
folding|접는
emirates|토후국
terrorists|테러리스트
airfare|항공료
comparisons|비교
beneficial|유익한
distributions|분포
vaccine|백신
belize|벨리즈
fate|운명
viewpicture|보기 사진
promised|약속하다
volvo|볼보
penny|페니
robust|견고한
bookings|예약
threatened|위협을 받다
minolta|미놀타
republicans|공화당원
discusses|토론하다
gui|구이
porter|포터
gras|그라
jungle|정글
ver|버전
responded|응답했다
rim|가장자리
abstracts|초록
zen|선
ivory|상아
alpine|알파인
dis|디스
prediction|예측
pharmaceuticals|의약품
andale|안데일
fabulous|굉장한
remix|리믹스
alias|별칭
thesaurus|동의어 사전
individually|개별적으로
battlefield|전장
literally|말 그대로
newer|최신
kay|알았어
ecological|생태학적
spice|향신료
oval|타원형
implies|암시한다
soma|소마
ser|세르
cooler|쿨러
appraisal|평가
consisting|구성된
maritime|해상
periodic|주기적
submitting|제출 중
overhead|머리 위
ascii|아스키
prospect|전망
shipment|선적
breeding|번식
citations|인용
geographical|지리적
donor|기증자
mozambique|모잠비크
tension|긴장
href|href
benz|벤츠
trash|쓰레기
shapes|모양
wifi|와이파이
tier|계층
earl|백작
manor|장원
envelope|봉투
diane|다이앤
homeland|고국
disclaimers|면책조항
championships|선수권 대회
excluded|제외됨
andrea|안드레아
breeds|품종
rapids|급류
disco|디스코
sheffield|셰필드
bailey|베일리
aus|호주
endif|엔디프
finishing|마무리
emotions|감정
wellington|웰링턴
incoming|들어오는
prospects|잠재 고객
lexmark|렉스마크
cleaners|청소기
bulgarian|불가리아 사람
hwy|왜
eternal|영원한
cashiers|계산원
guam|괌
cite|인용하다
aboriginal|원주민
remarkable|주목할 만한
rotation|회전
nam|남
preventing|예방하다
productive|생산적인
boulevard|큰길
eugene|유진
pig|돼지
metric|미터법
compliant|준수
minus|마이너스
penalties|처벌
bennett|베넷
imagination|상상력
hotmail|핫메일
refurbished|단장한
joshua|조슈아
armenia|아르메니아
varied|다양하다
grande|그란데
closest|가장 가까운
activated|활성화됨
actress|여배우
